WAKE,0.0002160807277598911
UP,0.010004537695282957
IN,0.01380755850385704
THE,0.03608548153590181
FEELIN,0.0004753776010717604
LIKE,0.012403033773417749
HEY,0.004559303355733702
WHAT,0.0068065429244365695
GIRL,0.0027226171697746276
GRAB,0.00025929687331186933
MY,0.01648695952807969
IM,0.014779921778776552
OUT,0.0030467382614144645
GONNA,0.0030683463341904535
HIT,0.0010804036387994556
THIS,0.005402018193997277
CITY,0.0003025130188638475
LETS,0.001015579420471488
GO,0.004753776010717604
BEFORE,0.0003673372371918149
I,0.03839754532293265
LEAVE,0.0006914583288316515
WITH,0.005358802048445299
A,0.01920957669785432
OF,0.00823267572765185
CAUSE,0.00388945309967804
WHEN,0.005553274703429202
FOR,0.008772877547051578
NIGHT,0.0021824153503749
AINT,0.0016206054581991832
COMING,0.00032412109163983664
BACK,0.0026794010242226496
ON,0.010047753840834936
OUR,0.0015341731670952268
ALL,0.007800514272132068
BOYS,0.000799498692711597
TO,0.01700555327470343
TRYNA,0.0006698502560556624
GET,0.004624127574061669
LITTLE,0.0011668359299034118
BIT,0.0002160807277598911
DONT,0.006655286415004646
STOP,0.0012748762937833575
MAKE,0.003543723935262214
IT,0.019296008988958276
POP,0.0009507552021435208
DJ,0.0006698502560556624
BLOW,0.0005402018193997278
TONIGHT,0.0026577929514466606
IMA,0.0010587955660234663
FIGHT,0.00025929687331186933
TILL,0.00032412109163983664
WE,0.008427148382635754
SEE,0.0024417122236867696
BUT,0.006979407506644482
PARTY,0.0009291471293675317
NO,0.004213574191317877
OH,0.013137708247801378
WHOA,0.000799498692711597
GOT,0.006007044231724972
CARE,0.0006914583288316515
WORLD,0.0016206054581991832
MONEY,0.0012316601482313793
POCKET,0.0002160807277598911
ALREADY,0.0002809049460878584
HERE,0.0013613085848873138
AND,0.020895006374381467
NOW,0.00484020830182156
ARE,0.0024417122236867696
THEY,0.0032412109163983665
HEAR,0.0008643229110395644
EM,0.0012964843665593466
LOOK,0.0032628189891743555
JAGGER,0.0004537695282957713
ABOUT,0.0015125650943192378
GETTIN,0.00034572916441582576
TRY,0.0005618098921757168
TOUCH,0.0006482421832796733
HIM,0.0002376888005358802
IF,0.0036301562263661704
HE,0.0007346744743836298
TOO,0.0021175911320469327
DRUNK,0.00041055338274379306
US,0.0010371874932474773
OR,0.0012316601482313793
DOWN,0.004256790336869855
YOU,0.04295684867866635
ME,0.02260204412368461
BREAK,0.002052766913718965
HEART,0.001793470040407096
YEAH,0.013418613193889237
HANDS,0.0011236197843514336
THAT,0.010955292897426479
SOUND,0.0004537695282957713
PUT,0.002376888005358802
YOUR,0.010242226495818837
START,0.0005185937466237387
WALK,0.000388945309967804
WHOLE,0.0002809049460878584
GOD,0.0002809049460878584
DAMN,0.0006482421832796733
MANY,0.00034572916441582576
CANT,0.003003522115862486
CLOSE,0.0005834179649517059
ITS,0.004753776010717604
SO,0.007130664016076406
MUCH,0.0006698502560556624
CASH,0.0003025130188638475
NEED,0.002009550768166987
GUCCI,0.0002376888005358802
NEVER,0.0032628189891743555
BEST,0.000799498692711597
CHECK,0.0004321614555197822
MUST,0.0002160807277598911
BE,0.006720110633332613
DAY,0.0013397005121113248
AT,0.0022688476414788566
SHOULD,0.0009075390565915426
OUTTA,0.0003025130188638475
GOLD,0.00041055338274379306
BOTTLES,0.0002376888005358802
SOME,0.0009075390565915426
JEANS,0.0002160807277598911
OFF,0.002225631495926878
ASS,0.0005402018193997278
PLEASE,0.0002160807277598911
AM,0.0009075390565915426
GOIN,0.00097236327491951
MIGHT,0.0008427148382635752
TALK,0.000777890619935608
KEEP,0.000993971347695499
KID,0.0004321614555197822
THESE,0.0011236197843514336
HATERS,0.0003025130188638475
KNOW,0.007217096307180363
HEAD,0.0004537695282957713
BY,0.0012532682210073683
READY,0.0002809049460878584
BITCH,0.002031158840942976
MET,0.0004537695282957713
FUCK,0.0006482421832796733
FIRST,0.0004753776010717604
THROW,0.0003673372371918149
WHITE,0.0007130664016076406
LIVE,0.0018150781131830852
ONLY,0.002160807277598911
LIFE,0.0015341731670952268
CAN,0.003197994770846388
THERES,0.0006914583288316515
GAME,0.0003025130188638475
GIVE,0.002009550768166987
COULD,0.0012748762937833575
WATCH,0.0008643229110395644
SHOW,0.00097236327491951
TURN,0.0008211067654875861
HOES,0.00032412109163983664
BALL,0.0002809049460878584
THEN,0.001382916657663303
MORE,0.001404524730439292
TELL,0.002031158840942976
MAN,0.001750253894855118
DO,0.004602519501285681
HIS,0.00032412109163983664
MIND,0.0010371874932474773
FOREVER,0.00041055338274379306
ICE,0.0003025130188638475
THATS,0.002398496078134791
JUST,0.0070658397977484385
BLACK,0.002614576805894682
WANNA,0.0020959830592709437
FREE,0.0002809049460878584
REALLY,0.00097236327491951
WANT,0.004019101536333974
CAME,0.0004537695282957713
HOME,0.000605026037727695
BOUT,0.0012316601482313793
YA,0.0016854296765271505
RAPPER,0.00041055338274379306
THINKIN,0.00034572916441582576
OVER,0.0011236197843514336
AS,0.0010587955660234663
FEET,0.0002160807277598911
PULL,0.0005402018193997278
NEW,0.0009507552021435208
THROUGH,0.0011452278571274228
FIRE,0.0009507552021435208
ROOF,0.0004321614555197822
BRING,0.0006482421832796733
NIGGAS,0.000605026037727695
WIN,0.0002160807277598911
NIGGA,0.0004969856738477495
DOPE,0.0004969856738477495
AN,0.00097236327491951
SHIT,0.0007562825471596189
BEEN,0.001188444002679401
SAME,0.000605026037727695
HAD,0.0016422135309751723
SHE,0.0024633202964627586
STILL,0.000993971347695499
EVERY,0.00097236327491951
